Question,A,B,C,D,Answer,Image,Category
"While driving, which document must a driver have along with the driving license?",ID card,House registration copy,Copy of the vehicle registration manual,Social security card,C,,"Automotive Law"
"If a driver violates traffic laws and receives a ticket from a traffic officer, how many days do they have to pay the fine?",10 days,7 days,15 days,30 days,B,,"Automotive Law"
"If a driving license is lost or damaged, how many days do you have to apply for a replacement?",20 days,30 days,15 days,45 days,C,,"Automotive Law"
What is the penalty for driving without a license?,Imprisonment not exceeding 1 year,"Imprisonment not exceeding 1 month or a fine not exceeding 1,000 baht or both","A fine not exceeding 2,000 baht","A fine not exceeding 5,000 baht",B,,"Automotive Law"
How many years is a temporary driving license valid for?,1 year,2 years,3 years,4 years,B,,"Automotive Law"
What is the penalty for using an expired driving license?,"A fine not exceeding 5,000 baht",Imprisonment not exceeding 3 months,"A fine not exceeding 2,000 baht",Imprisonment not exceeding 1 month,C,,"Automotive Law"
How much is the penalty for a vehicle that has not paid the annual tax on time?,1% per month,1% per year,10% per month,20% per year,A,,"Automotive Law"
How many days do you have to notify the registrar when transferring a vehicle?,15 days,45 days,20 days,30 days,A,,"Automotive Law"
How many days do you have to notify the registrar when changing the color of the vehicle?,7 days,10 days,15 days,20 days,A,,"Automotive Law"
How many months in advance can you renew a personal driving license (5 years)?,3 months,4 months,6 months,5 months,A,,"Automotive Law"
After how many years does a car need to be inspected before paying the annual tax?,5 years,6 years,3 years,7 years,D,,"Automotive Law"
How many days do you have to notify the registrar when relocating a vehicle?,30 days,15 days,25 days,20 days,B,,"Automotive Law"
After how many years does a motorcycle need to be inspected before paying the annual tax?,1 year,3 years,2 years,5 years,D,,"Automotive Law"
"According to the Vehicle Act B.E. 2522, what does 'vehicle' mean?","Car, motorcycle, trailer, road roller, tractor, and other vehicles specified by the ministry","Car, motorcycle, trailer","Car, motorcycle, trailer, road roller, tractor","Car, motorcycle, trailer, tractor",A,,"Automotive Law"
"According to the Vehicle Act B.E. 2522, what does 'car' mean?","Public vehicle, service car, and personal car, taxi","Public vehicle, service car, and personal motorcycle","Public motorcycle, service car, and personal motorcycle","Public vehicle, service car, and personal car",D,,"Automotive Law"
